S.no,frame_id,child_frame_id,X,Y,Z,o_x,o_y,o_z
199,base_footprint,36,0.017020549760761,-0.00612348931511,2.6569414324513,0.025687459676396,-2.49691557392303,0.003508393022716
200,base_footprint,36,0.017020549760761,-0.00612348931511,2.6569414324513,0.030783087051097,-2.49687979780326,0.003511754095052
201,base_footprint,25,1.1195002617017,-0.005850264579066,2.54205488274147,0.030783087051097,-2.49687979780326,0.003511754095052
202,base_footprint,36,0.018367347223958,-0.006122449084478,2.65306126403189,0.030783087051097,-2.49687979780326,0.003511754095052
203,-,-,-,-,-,0.035730664451816,-2.49684503110435,0.003514455098475
204,-,-,-,-,-,0.04068008732502,-2.4968102267399,0.003516554345078
205,base_footprint,25,1.10118659691584,-0.00387655442832,2.49433706160235,0.04068008732502,-2.4968102267399,0.003516554345078
206,base_footprint,36,0.018367347223958,-0.006122449084478,2.65306126403189,0.04068008732502,-2.4968102267399,0.003516554345078
207,base_footprint,36,0.018367347223958,-0.006122449084478,2.65306126403189,0.04578115392538,-2.49677433494824,0.003519185696237
208,-,-,-,-,-,0.050733827372724,-2.49673946169713,0.003522034636712
209,base_footprint,36,0.016884025362248,-0.005417831154498,2.61936037231929,0.050733827372724,-2.49673946169713,0.003522034636712
210,base_footprint,25,1.11513137664923,-0.008654863797104,2.51912614249685,0.050733827372724,-2.49673946169713,0.003522034636712
211,-,-,-,-,-,0.055688375063928,-2.496704550982,0.003524181620929
212,base_footprint,36,0.016884025362248,-0.005417831154498,2.61936037231929,0.055688375063928,-2.496704550982,0.003524181620929
213,base_footprint,25,1.10873961280445,-0.005690306340449,2.49400930608974,0.055688375063928,-2.496704550982,0.003524181620929
214,-,-,-,-,-,0.060794931552721,-2.49666855341693,0.003525836790744
215,base_footprint,36,0.018728459480618,-0.007261771565787,2.6190965047736,0.060794931552721,-2.49666855341693,0.003525836790744
216,-,-,-,-,-,0.06575294775039,-2.49663359399708,0.003526910386446
217,base_footprint,36,0.01643099873907,-0.008292604922939,2.59630806846979,0.06575294775039,-2.49663359399708,0.003526910386446
219,base_footprint,36,0.017996401351018,-0.005998800452595,2.59948019467304,0.070712163969565,-2.49659862208217,0.003527182485543
219,base_footprint,36,0.017996401351018,-0.005998800452595,2.59948019467304,0.070712163969565,-2.49659862208217,0.003527182485543
220,base_footprint,36,0.017996401351018,-0.005998800452595,2.59948019467304,0.075821174055014,-2.49656260864591,0.003526155655059
221,-,-,-,-,-,0.080778090059058,-2.4965276889166,0.003525723710671
222,-,-,-,-,-,0.08573273553095,-2.4964928409693,0.003526694974707
